                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.88393,                0.54416,                0.99821,                0.94982,                0.93324,                0.96384,                0.63098,                 1.1981,                0.57148,                0.97958,             0.00020572,             0.00020572,             0.00020572
                     55,                0.87965,                0.54093,                0.99767,                 0.9498,                0.93291,                0.96411,                0.63132,                  1.194,                0.56962,                0.97915,             0.00018948,             0.00018948,             0.00018948
                     56,                 0.8736,                0.53688,                0.99587,                0.95639,                0.92967,                0.96497,                0.63204,                  1.193,                0.56723,                0.97881,             0.00017378,             0.00017378,             0.00017378
                     57,                0.87365,                0.53621,                0.99515,                0.95232,                0.92993,                0.96651,                0.63252,                 1.1932,                0.56597,                0.97846,             0.00015867,             0.00015867,             0.00015867
                     58,                0.87128,                0.53179,                0.99373,                0.95271,                0.92907,                0.96526,                0.63225,                 1.1885,                 0.5646,                0.97763,             0.00014416,             0.00014416,             0.00014416
                     59,                0.86376,                0.52827,                0.99181,                0.95259,                0.93166,                0.96608,                0.63233,                 1.1878,                0.56521,                0.97727,             0.00013029,             0.00013029,             0.00013029
                     60,                 0.8664,                0.52743,                0.99111,                0.95339,                0.93166,                0.96638,                0.63522,                 1.1864,                0.56263,                0.97705,             0.00011707,             0.00011707,             0.00011707
                     61,                0.86154,                0.52699,                0.99087,                 0.9511,                0.93339,                0.96765,                0.63501,                 1.1836,                0.56147,                0.97634,             0.00010454,             0.00010454,             0.00010454
                     62,                 0.8563,                0.52132,                0.98757,                0.95239,                0.93452,                0.96842,                0.63524,                 1.1827,                0.55998,                0.97607,             9.2704e-05,             9.2704e-05,             9.2704e-05
                     63,                0.85518,                0.52035,                0.98836,                0.95152,                0.93339,                0.96728,                0.63574,                 1.1817,                0.56055,                0.97581,             8.1595e-05,             8.1595e-05,             8.1595e-05
                     64,                0.85547,                0.52202,                0.98831,                0.95326,                0.93426,                0.96832,                0.63471,                 1.1823,                0.56002,                0.97546,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     65,                0.91736,                0.50662,                0.97654,                0.95164,                0.93623,                0.96832,                0.63677,                 1.1832,                0.56137,                0.97569,             6.1623e-05,             6.1623e-05,             6.1623e-05
                     66,                0.89439,                0.48564,                0.96427,                0.95165,                0.93512,                0.96823,                0.63663,                 1.1844,                0.56128,                0.97617,             5.2795e-05,             5.2795e-05,             5.2795e-05
                     67,                 0.8892,                0.47858,                0.96175,                0.95171,                0.93767,                0.96758,                0.63419,                 1.1846,                 0.5617,                0.97611,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     68,                0.88269,                0.47728,                0.96052,                0.95104,                0.93772,                0.96748,                0.63412,                 1.1854,                 0.5604,                0.97634,             3.7534e-05,             3.7534e-05,             3.7534e-05
                     69,                0.87754,                0.47627,                0.96063,                 0.9509,                0.93821,                0.96801,                0.63504,                  1.185,                0.56068,                0.97623,             3.1127e-05,             3.1127e-05,             3.1127e-05
                     70,                0.86861,                0.46948,                0.95622,                0.95116,                0.93858,                0.96803,                0.63544,                 1.1848,                 0.5614,                0.97624,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     71,                0.87309,                 0.4712,                0.95616,                0.94928,                0.94118,                0.96852,                0.63616,                 1.1838,                0.56033,                0.97587,             2.0817e-05,             2.0817e-05,             2.0817e-05
                     72,                0.87386,                 0.4699,                0.95674,                0.94844,                0.93891,                0.96761,                0.63543,                 1.1831,                 0.5589,                0.97589,             1.6932e-05,             1.6932e-05,             1.6932e-05
                     73,                0.87125,                0.47114,                0.95602,                0.94833,                0.93858,                0.96711,                0.63438,                 1.1829,                0.55874,                0.97581,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     74,                0.86784,                0.46687,                0.95565,                0.94838,                0.93772,                0.96633,                0.63404,                 1.1828,                0.55935,                0.97585,             1.1736e-05,             1.1736e-05,             1.1736e-05
